ELECCION,nombres_candidato,apellido_paterno_candidato,apellido_materno_candidato,ESTADO,Observada
DIPUTADO,ARTURO BERNARDO,GRANDON,ARREDONDO,APROBADA,SI
DIPUTADO,MARCELA PAZ,CANALES,HIPP,APROBADA,SI
DIPUTADO,CRISTIAN MIGUEL,INOSTROZA,SUAREZ,APROBADA,SI
DIPUTADO,RODRIGO,BRAVO,BUSTOS,APROBADA,NO
SENADOR,VICTORIA,ORTIZ,VERA,APROBADA,SI
DIPUTADO,GERARDO,MUÑOZ,RIQUELME,APROBADA,SI
DIPUTADO,HUGO DEL CARMEN,ARIAS,GONZALEZ,APROBADA,SI
DIPUTADO,RICARDO,CIFUENTES,LILLO,APROBADA,SI
DIPUTADO,ROSA ESTER,ARIAS,SOLIS,APROBADA,NO
SENADOR,SERGIO ARNOLDO,ROJAS,TAPIA,APROBADA,SI
DIPUTADO,FACUNDO,MIRO,TAPIA,APROBADA,SI
SENADOR,MARIO ARTURO,LEYTON,BRAVO,APROBADA,NO
DIPUTADO,CARLOS,THENOUX,CIUDAD,APROBADA,SI
DIPUTADO,VICTOR HUGO,CASTAÑEDA,VARGAS,APROBADA,SI
DIPUTADO,JUAN CARLOS,BELTRAN,SILVA,APROBADA,SI
DIPUTADO,FIDEL OSCAR,ARENAS,PIZARRO,APROBADA,SI
DIPUTADO,MAURICIO DAVID,RIOS,NAVARRETE,APROBADA,SI
DIPUTADO,RAYKO ALEJANDRO,KARMELIC,PAVLOV,APROBADA,SI
DIPUTADO,OSVALDO FRANCISCO,SOTGIU,QUIJADA,APROBADA,NO
DIPUTADO,CARLOS,ORTEGA,AEDO,APROBADA,NO
SENADOR,MARIA ANGELICA,OJEDA,SANHUEZA,APROBADA,SI
DIPUTADO,ROBERTO ENRIQUE,ARROYO,MUÑOZ,APROBADA,SI
DIPUTADO,GABRIEL ANTONIO,GATICA,SOTOMAYOR,APROBADA,SI
DIPUTADO,DAVID,PAILLAN,CONEY,APROBADA,SI
SENADOR,ESTEBAN,VELASQUEZ,NUÑEZ,APROBADA,SI
